commandId,sectionId,sectionName,name,isToggle,namedId
322,0,Main,Track: Set mute for track 38 (MIDI CC/OSC only),0,
323,0,Main,Track: Set solo for track 38 (MIDI CC/OSC only),0,
324,0,Main,Track: Set volume for track 39 (MIDI CC/OSC only),0,
325,0,Main,Track: Set pan for track 39 (MIDI CC/OSC only),0,
326,0,Main,Track: Toggle mute for track 39,1,
327,0,Main,Track: Toggle solo for track 39,1,
328,0,Main,Track: Toggle FX bypass for track 39,1,
329,0,Main,Track: Toggle record arm for track 39,1,
330,0,Main,Track: Set mute for track 39 (MIDI CC/OSC only),0,
331,0,Main,Track: Set solo for track 39 (MIDI CC/OSC only),0,
332,0,Main,Track: Set volume for track 40 (MIDI CC/OSC only),0,
333,0,Main,Track: Set pan for track 40 (MIDI CC/OSC only),0,
334,0,Main,Track: Toggle mute for track 40,1,
335,0,Main,Track: Toggle solo for track 40,1,
336,0,Main,Track: Toggle FX bypass for track 40,1,
337,0,Main,Track: Toggle record arm for track 40,1,
338,0,Main,Track: Set mute for track 40 (MIDI CC/OSC only),0,
339,0,Main,Track: Set solo for track 40 (MIDI CC/OSC only),0,
340,0,Main,Track: Set volume for track 41 (MIDI CC/OSC only),0,
341,0,Main,Track: Set pan for track 41 (MIDI CC/OSC only),0,
342,0,Main,Track: Toggle mute for track 41,1,
343,0,Main,Track: Toggle solo for track 41,1,
344,0,Main,Track: Toggle FX bypass for track 41,1,
345,0,Main,Track: Toggle record arm for track 41,1,
346,0,Main,Track: Set mute for track 41 (MIDI CC/OSC only),0,
347,0,Main,Track: Set solo for track 41 (MIDI CC/OSC only),0,
348,0,Main,Track: Set volume for track 42 (MIDI CC/OSC only),0,
349,0,Main,Track: Set pan for track 42 (MIDI CC/OSC only),0,
350,0,Main,Track: Toggle mute for track 42,1,
351,0,Main,Track: Toggle solo for track 42,1,
352,0,Main,Track: Toggle FX bypass for track 42,1,
353,0,Main,Track: Toggle record arm for track 42,1,
354,0,Main,Track: Set mute for track 42 (MIDI CC/OSC only),0,
355,0,Main,Track: Set solo for track 42 (MIDI CC/OSC only),0,
356,0,Main,Track: Set volume for track 43 (MIDI CC/OSC only),0,
357,0,Main,Track: Set pan for track 43 (MIDI CC/OSC only),0,
358,0,Main,Track: Toggle mute for track 43,1,
359,0,Main,Track: Toggle solo for track 43,1,
360,0,Main,Track: Toggle FX bypass for track 43,1,
361,0,Main,Track: Toggle record arm for track 43,1,
362,0,Main,Track: Set mute for track 43 (MIDI CC/OSC only),0,
363,0,Main,Track: Set solo for track 43 (MIDI CC/OSC only),0,
364,0,Main,Track: Set volume for track 44 (MIDI CC/OSC only),0,
365,0,Main,Track: Set pan for track 44 (MIDI CC/OSC only),0,
366,0,Main,Track: Toggle mute for track 44,1,
367,0,Main,Track: Toggle solo for track 44,1,
368,0,Main,Track: Toggle FX bypass for track 44,1,
369,0,Main,Track: Toggle record arm for track 44,1,
370,0,Main,Track: Set mute for track 44 (MIDI CC/OSC only),0,
371,0,Main,Track: Set solo for track 44 (MIDI CC/OSC only),0,
372,0,Main,Track: Set volume for track 45 (MIDI CC/OSC only),0,
373,0,Main,Track: Set pan for track 45 (MIDI CC/OSC only),0,
374,0,Main,Track: Toggle mute for track 45,1,
375,0,Main,Track: Toggle solo for track 45,1,
376,0,Main,Track: Toggle FX bypass for track 45,1,
377,0,Main,Track: Toggle record arm for track 45,1,
378,0,Main,Track: Set mute for track 45 (MIDI CC/OSC only),0,
379,0,Main,Track: Set solo for track 45 (MIDI CC/OSC only),0,
380,0,Main,Track: Set volume for track 46 (MIDI CC/OSC only),0,
381,0,Main,Track: Set pan for track 46 (MIDI CC/OSC only),0,
382,0,Main,Track: Toggle mute for track 46,1,
383,0,Main,Track: Toggle solo for track 46,1,
384,0,Main,Track: Toggle FX bypass for track 46,1,
385,0,Main,Track: Toggle record arm for track 46,1,
386,0,Main,Track: Set mute for track 46 (MIDI CC/OSC only),0,
387,0,Main,Track: Set solo for track 46 (MIDI CC/OSC only),0,
388,0,Main,Track: Set volume for track 47 (MIDI CC/OSC only),0,
389,0,Main,Track: Set pan for track 47 (MIDI CC/OSC only),0,
390,0,Main,Track: Toggle mute for track 47,1,
391,0,Main,Track: Toggle solo for track 47,1,
392,0,Main,Track: Toggle FX bypass for track 47,1,
393,0,Main,Track: Toggle record arm for track 47,1,
394,0,Main,Track: Set mute for track 47 (MIDI CC/OSC only),0,
395,0,Main,Track: Set solo for track 47 (MIDI CC/OSC only),0,
396,0,Main,Track: Set volume for track 48 (MIDI CC/OSC only),0,
397,0,Main,Track: Set pan for track 48 (MIDI CC/OSC only),0,
398,0,Main,Track: Toggle mute for track 48,1,
399,0,Main,Track: Toggle solo for track 48,1,
400,0,Main,Track: Toggle FX bypass for track 48,1,
401,0,Main,Track: Toggle record arm for track 48,1,
402,0,Main,Track: Set mute for track 48 (MIDI CC/OSC only),0,
403,0,Main,Track: Set solo for track 48 (MIDI CC/OSC only),0,
404,0,Main,Track: Set volume for track 49 (MIDI CC/OSC only),0,
405,0,Main,Track: Set pan for track 49 (MIDI CC/OSC only),0,
406,0,Main,Track: Toggle mute for track 49,1,
407,0,Main,Track: Toggle solo for track 49,1,
408,0,Main,Track: Toggle FX bypass for track 49,1,
409,0,Main,Track: Toggle record arm for track 49,1,
410,0,Main,Track: Set mute for track 49 (MIDI CC/OSC only),0,
411,0,Main,Track: Set solo for track 49 (MIDI CC/OSC only),0,
